country,longitude,latitude,count
India,78.6677428,22.3511148,8
India,78.6677428,22.3511148,8
Austria,14.12456,47.59397,13
Iran,54.5643516,32.6475314,2
Austria,14.12456,47.59397,13
India,78.6677428,22.3511148,8
Canada,-107.991707,61.0666922,2
Austria,14.12456,47.59397,13
Romania,24.6859225,45.9852129,6
Indonesia,117.8902853,-2.4833826,1
Austria,14.12456,47.59397,13
India,78.6677428,22.3511148,8
Luxembourg,6.1296751,49.8158683,1
Zimbabwe,29.7468414,-18.4554963,1
Germany,10.4478313,51.1638175,1
Trinidad,-61.26130538878063,10.443024300000001,1
Italy,12.674297,42.6384261,2
United States,-100.445882,39.7837304,1
South Africa,24.991639,-28.8166236,1
United Kingdom ,-3.2765753,54.7023545,1
India ,78.6677428,22.3511148,1
Austria,14.12456,47.59397,13
Austria,14.12456,47.59397,13
Colombia,-72.9088133,4.099917,1
Austria,14.12456,47.59397,13
Netherlands,5.6343227,52.2434979,5
Italy,12.674297,42.6384261,2
Austria,14.12456,47.59397,13
Austria,14.12456,47.59397,13
Austria,14.12456,47.59397,13
India,78.6677428,22.3511148,8
Spain,-4.8379791,39.3260685,5
Iran,54.5643516,32.6475314,2
Austria,14.12456,47.59397,13
Austria,14.12456,47.59397,13
Lithuania,23.7499997,55.3500003,1
Netherlands,5.6343227,52.2434979,5
India,78.6677428,22.3511148,8
India,78.6677428,22.3511148,8
Netherlands,5.6343227,52.2434979,5
Netherlands,5.6343227,52.2434979,5
Austria,14.12456,47.59397,13
Greece,21.9877132,38.9953683,2
Romania,24.6859225,45.9852129,6
Romania,24.6859225,45.9852129,6
Romania,24.6859225,45.9852129,6
Romania,24.6859225,45.9852129,6
Canada,-107.991707,61.0666922,2
Greece,21.9877132,38.9953683,2
Israel,34.8594762,30.8124247,1
Belgium,4.6667145,50.6402809,1
Netherlands,5.6343227,52.2434979,5
India,78.6677428,22.3511148,8
Sweden,14.5208584,59.6749712,1
Spain,-4.8379791,39.3260685,5
Spain,-4.8379791,39.3260685,5
Romania,24.6859225,45.9852129,6
Hungary,19.5060937,47.1817585,1
Portugal,-8.1353519,39.6621648,1
Finland,25.9209164,63.2467777,1
Spain,-4.8379791,39.3260685,5
Spain,-4.8379791,39.3260685,5
Serbia,20.55144,44.1534121,1
